pretrain_optimizer,run_i,run_j,path_run_i,path_run_j,cosine_similarity,angle_degrees,dot_product,l2_delta_run_i,l2_delta_run_j,shared_parameter_count,pca_target_k,pca_components_used,cosine_similarity_pca,angle_degrees_pca
adam,adam_ckpt_driving_adamw,adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,0.001815667046451653,89.89596988407885,43.279639747634064,71.39559684726682,333.86892378142403,15960110208,5,3,-0.6569930079200562,131.07094368594534
adam,adam_ckpt_driving_adamw,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,0.0010005217772130444,89.94267431529052,15.795543424872449,71.39559684726682,221.12436432369665,15960110208,5,3,-0.18574103050331442,100.70433914834382
adam,adam_ckpt_driving_adamw,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_adamw,/scratch/celine/ft_out/adam_ckpt_driving_muon,0.013295121960105311,89.2382231804711,50.513319200021215,71.39559684726682,53.21599081175678,15960110208,5,3,0.7090211528962265,44.84467065258108
adam,adam_ckpt_driving_fullft_adamw,adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,0.10351041838710874,84.05864782661149,7641.817444859195,333.86892378142403,221.12436432369665,15960110208,5,3,-0.5499596598931652,123.36424551362195
adam,adam_ckpt_driving_fullft_adamw,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/adam_ckpt_driving_muon,0.0018329427708016455,89.89498005633844,32.56619770801626,333.86892378142403,53.21599081175678,15960110208,5,3,-0.6658029350724629,131.74395389999196
adam,adam_ckpt_driving_fullft_muon,adam_ckpt_driving_muon,/scratch/celine/ft_out/adam_ckpt_driving_fullft_muon,/scratch/celine/ft_out/adam_ckpt_driving_muon,0.002034832040810747,89.88341263158765,23.944585170189384,221.12436432369665,53.21599081175678,15960110208,5,3,-0.1654312889405686,99.5222898288976
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,0.0029379983363944473,89.83166485293404,46.55131950195937,73.16294811986681,216.56549025488022,15960110208,5,5,-0.19096792379515903,101.00927650651323
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,0.0029221367844524102,89.83257365681803,10.086418219594634,73.16294811986681,47.17861997696624,15960110208,5,5,0.6120867600314649,52.259457273439196
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,0.0001617482808566844,89.99073250612301,0.21077433933714929,73.16294811986681,17.8109410432643,15960110208,5,5,0.699663440188387,45.59999200675042
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,0.0007715077749119437,89.95579585625079,11.60784413877991,73.16294811986681,205.64590405342844,15960110208,5,5,-0.18935476852666144,100.91513163088277
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,0.000647349800574284,89.96290958596794,14.021028253424447,73.16294811986681,296.03949093560493,15960110208,5,5,-0.3833123139836011,112.53900654275661
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.0004576724681748233,89.9737772982588,8.238943041185848,73.16294811986681,246.05121592285542,15960110208,5,5,-0.26500171438298936,105.36705466668673
muon,muon_ckpt_driving_adamw,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_adamw,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.012088768674630932,89.30734770422703,48.93077614624053,73.16294811986681,55.3233971564723,15960110208,5,5,0.5210382246972359,58.59808064526925
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,0.11000721070445553,83.68426876511413,1123.9723797838044,216.56549025488022,47.17861997696624,15960110208,5,5,-0.16390471289426833,99.43361293102673
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,0.009506311620606393,89.45532026141193,36.66807960492443,216.56549025488022,17.8109410432643,15960110208,5,5,-0.2233449227495707,102.90557273569783
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,0.11856514491477047,83.19069974863422,5280.394295871371,216.56549025488022,205.64590405342844,15960110208,5,5,-0.15194071881695517,98.73941083741315
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,0.08936062672053172,84.87317450792057,5729.082914309118,216.56549025488022,296.03949093560493,15960110208,5,5,-0.22262832177624897,102.8634540378314
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.07768454656206747,85.54451426860645,4139.514456243456,216.56549025488022,246.05121592285542,15960110208,5,5,-0.20822332331779073,102.0182547418333
muon,muon_ckpt_driving_fullft_adamw,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.002174704524546483,89.87539851084156,26.055436383001506,216.56549025488022,55.3233971564723,15960110208,5,5,-0.21806223739782918,102.59524432371461
muon,muon_ckpt_driving_fullft_adamw_4-28,muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,0.02078581088631275,88.80897498824318,17.466225823308548,47.17861997696624,17.8109410432643,15960110208,5,5,0.9916294078414322,7.418551726247455
muon,muon_ckpt_driving_fullft_adamw_4-28,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,0.031471753144206444,88.19650356880747,305.34178011450945,47.17861997696624,205.64590405342844,15960110208,5,5,-0.2212455174125835,102.78219875275867
muon,muon_ckpt_driving_fullft_adamw_4-28,muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,0.026579921881056803,88.47690327784447,371.23471569190633,47.17861997696624,296.03949093560493,15960110208,5,5,-0.4951914741794554,119.68237715279176
muon,muon_ckpt_driving_fullft_adamw_4-28,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.009770399152759603,89.44018845748086,113.4182795500983,47.17861997696624,246.05121592285542,15960110208,5,5,-0.34446874846484044,110.14936957917891
muon,muon_ckpt_driving_fullft_adamw_4-28,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_4-28,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.0017648550018447766,89.89888120444903,4.606415443937294,47.17861997696624,55.3233971564723,15960110208,5,5,0.9915535247869652,7.452149327853591
muon,muon_ckpt_driving_fullft_adamw_swa_4-28,muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,0.00941066838053463,89.46080046055219,34.468898064689,17.8109410432643,205.64590405342844,15960110208,5,5,-0.21540398931600507,102.43922954176028
muon,muon_ckpt_driving_fullft_adamw_swa_4-28,muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,0.010632686651269119,89.39078045050906,56.06341262339538,17.8109410432643,296.03949093560493,15960110208,5,5,-0.505316530397222,120.35236660945974
muon,muon_ckpt_driving_fullft_adamw_swa_4-28,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.05448065725803988,86.87694202617232,238.75623396924584,17.8109410432643,246.05121592285542,15960110208,5,5,-0.3169189787137645,108.47669972571876
muon,muon_ckpt_driving_fullft_adamw_swa_4-28,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_adamw_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.00022084174043659796,89.9873467002298,0.21760900715707976,17.8109410432643,55.3233971564723,15960110208,5,5,0.9739235173179955,13.11325237753177
muon,muon_ckpt_driving_fullft_muon,muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,0.12964043165276837,82.55118526167605,7892.419864938526,205.64590405342844,296.03949093560493,15960110208,5,5,-0.18341127350955724,100.56852025983471
muon,muon_ckpt_driving_fullft_muon,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.10597638264446874,83.91657695288937,5362.343998037692,205.64590405342844,246.05121592285542,15960110208,5,5,-0.18246901165779378,100.51360589841663
muon,muon_ckpt_driving_fullft_muon,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.001731866501478945,89.90077130918134,19.7034971841058,205.64590405342844,55.3233971564723,15960110208,5,5,-0.21161639614477137,102.21709402387205
muon,muon_ckpt_driving_fullft_muon_4-28,muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,0.11239949401419003,83.54634554881062,8187.277685291894,296.03949093560493,246.05121592285542,15960110208,5,5,-0.18754357877903322,100.80946484846027
muon,muon_ckpt_driving_fullft_muon_4-28,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_4-28,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.001484298948120311,89.9149559035096,24.30971507675713,296.03949093560493,55.3233971564723,15960110208,5,5,-0.4545272248248033,117.03451916900814
muon,muon_ckpt_driving_fullft_muon_swa_4-28,muon_ckpt_driving_muon,/scratch/celine/ft_out/muon_ckpt_driving_fullft_muon_swa_4-28,/scratch/celine/ft_out/muon_ckpt_driving_muon,0.0009486768896351102,89.94564480994914,12.913758989205235,246.05121592285542,55.3233971564723,15960110208,5,5,-0.30733514458633016,107.89870709619944
